"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.2","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"2","0.005824000","10.0.0.2","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"3","0.293056000","10.0.0.2","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"4","0.842526000","10.0.0.2","10.0.0.1","TCP","74","34444 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=276241 TSecr=0 WS=512"
"5","0.843501000","10.0.0.2","10.0.0.1","TCP","74","34446 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=276241 TSecr=0 WS=512"
"6","0.843510000","10.0.0.2","10.0.0.1","TCP","74","34448 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=276241 TSecr=0 WS=512"
"7","0.893304000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34444 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=276266 TSecr=276241 WS=512"
"8","0.894275000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34446 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=276267 TSecr=276241 WS=512"
"9","0.894278000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34448 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=276267 TSecr=276241 WS=512"
"10","0.997543000","10.0.0.2","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"11","1.045355000","10.0.0.2","10.0.0.1","TCP","66","34444 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=276292 TSecr=276266"
"12","1.045522000","10.0.0.2","10.0.0.1","HTTP","466","GET / HTTP/1.1 "
"13","1.046462000","10.0.0.2","10.0.0.1","TCP","66","34446 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=276292 TSecr=276267"
"14","1.047440000","10.0.0.2","10.0.0.1","TCP","66","34448 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=276292 TSecr=276267"
"15","1.095768000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34444 [ACK] Seq=1 Ack=401 Win=30208 Len=0 TSval=276317 TSecr=276292"
"16","1.097232000","10.0.0.1","10.0.0.2","TCP","83","[TCP segment of a reassembled PDU]"
